gene_8980	RPRC008381-PA	100.000	494	0	0	1	1482	1	494	0.0	986
gene_8980	RPRC000110-PA	31.936	501	316	13	34	1482	80	573	1.66e-69	231
gene_8980	RPRC004384-PA	36.364	352	210	7	466	1482	213	563	8.42e-68	226
gene_8980	RPRC000595-PA	34.416	308	194	6	577	1482	122	427	8.43e-60	201
gene_8980	RPRC001108-PA	41.825	263	139	6	715	1482	43	298	2.79e-57	192
gene_8980	RPRC001107-PA	47.938	194	96	4	907	1482	1	191	1.25e-51	173
gene_8980	RPRC001190-PA	37.755	196	110	5	901	1464	22	213	8.84e-36	131
gene_8980	RPRC011528-PA	26.966	356	240	11	463	1482	197	548	1.39e-28	117
gene_8980	RPRC011528-PA	31.111	90	58	1	43	312	40	125	0.002	39.7
gene_8980	RPRC009774-PA	25.469	373	202	12	451	1371	264	626	3.40e-20	92.8
gene_8980	RPRC000574-PA	26.702	382	229	15	436	1482	275	638	5.91e-20	92.0
gene_8980	RPRC013075-PA	26.316	380	234	14	451	1482	233	602	4.75e-18	85.9
gene_8980	RPRC005284-PA	21.792	491	339	16	43	1410	45	525	6.99e-16	79.0
gene_8980	RPRC000439-PA	23.559	399	221	13	451	1431	253	639	9.61e-15	75.9
gene_8980	RPRC006560-PA	24.330	485	307	22	55	1404	46	505	7.71e-14	72.8
gene_8980	RPRC009983-PA	22.078	462	293	15	31	1293	91	526	1.35e-11	65.5
gene_8980	RPRC007098-PA	31.522	184	105	7	901	1404	125	303	2.65e-09	58.5
gene_8980	RPRC004287-PA	20.965	539	331	22	43	1482	41	543	2.61e-08	55.1
gene_8980	RPRC007578-PA	19.615	520	349	19	46	1482	49	540	1.63e-07	52.8
gene_8980	RPRC009488-PA	21.084	332	226	10	472	1395	535	854	1.60e-05	46.6
gene_8980	RPRC004368-PA	26.613	124	78	4	1129	1482	23	139	2.22e-05	43.9
